facilityName;streetAdress;city;state;zipCode;publicPhone
USPS RIVIERA BEACH POST OFFICE;1905 W BLUE HERON BLVD;RIVIERA BEACH;FL;33404;8558643379
ROSELAND POST OFFICE;13305 ROSELAND ROAD;ROSELAND;FL;32957;7725895095
USPS PALMS WEST POST OFFICE;10299 SOUTHERN BLVD;ROYAL PALM BEACH;FL;33411;5612463480
HILLSBOROUGH COUNTY CLERK OF COURT - SOUTHSHORE OFFICE;410 30TH ST SE;RUSKIN;FL;33570;8132768100
SEMINOLE COUNTY CLERK OF COURT - RECORDS CENTER;1750 E LAKE MARY BLVD;SANFORD;FL;32773;4076654405
WALTON COUNTY CLERK OF COURT - COURTHOUSE ANNEX;31 COASTAL CENTRE BLVD;SANTA ROSA BEACH;FL;32459;8502673066
SARASOTA COUNTY CLERK OF COURT - MAIN OFFICE;2000 MAIN ST;SARASOTA;FL;34236;9418617400
USPS GULF GATE POST OFFICE;2875 ASHTON RD;SARASOTA;FL;34231;9419226522
USPS LAKE JACKSON BRANCH;829 MALL RING RD;SEBRING;FL;33872;8633826138
USPS SEBRING MAIN POST OFFICE;518 N RIDGEWOOD DR;SEBRING;FL;33870;8633826138
USPS SEMINOLE POST OFFICE;9355 113TH ST;SEMINOLE;FL;33772;7273940847
OKALOOSA COUNTY TAX COLLECTOR OFFICE - SHALIMAR TAX OFFICE;1250 N. EGLIN PARKWAY;SHALIMAR;FL;32579;8506517310
USPS SOUTH BAY POST OFFICE;190 U.S. HIGHWAY 27 SOUTH;SOUTH BAY;FL;33493;5619965390
HERNANDO COUNTY CLERK OF COURT - SPRING HILL OFFICE;7405 FOREST OAKS BLVD;SPRING HILL;FL;34606;3525406387
ST. JOHNS COUNTY CLERK OF COURTS - MAIN OFFICE;4010 LEWIS SPEEDWAY;ST. AUGUSTINE;FL;32084;9048193600
PINELLAS COUNTY CLERK OF COURT - ST. PETERSBURG BRANCH OFFICE;545 1ST AVE N;ST. PETERSBURG;FL;33701;7274647000
USPS GATEWAY STATION;701 77TH AVE N;ST. PETERSBURG;FL;33702;7275782802
USPS GULFWINDS STATION;4222 22ND AVE S;ST. PETERSBURG;FL;33711;7273278469
BRADFORD COUNTY CLERK OF COURT;945 N TEMPLE AVE;STARKE;FL;32091;9049666280
MARTIN COUNTY CLERK OF COURT - COURTHOUSE STUART OFFICE;100 SE OCEAN BLVD;STUART;FL;34994;7722885553
USPS SUMMERFIELD POST OFFICE;14560 S US HWY 301;SUMMERFIELD;FL;34491;3522452784
USPS SUMMERLAND KEY POST OFFICE;24700 OVERSEAS HWY;SUMMERLAND KEY;FL;33042;3057453391
USPS SUNRISE BRANCH;3225 N HIATUS RD;SUNRISE;FL;33345;9547470552
CITY OF SWEETWATER;512 SW 109TH AVE;SWEETWATER;FL;33174;3052073343
FAMU - OFFICE OF INTERNATIONAL EDUCATION AND DEVELOPMENT;1601 S MARTIN LUTHER KING JR BLVD;TALLAHASSEE;FL;32307;8505993295
FLORIDA STATE UNIVERSITY - INTERNATIONAL PROGRAMS OFFICE;282 CHAMPIONS WAY;TALLAHASSEE;FL;32306;8506459714
LEON COUNTY CLERK OF COURT - NORTHEAST BRANCH;1276 METROPOLITAN BLVD;TALLAHASSEE;FL;32312;8506064060
USPS TALLAHASSEE POST OFFICE;2800 S ADAMS ST;TALLAHASSEE;FL;32301;8502164326
HILLSBOROUGH COUNTY CLERK OF COURT - DOWNTOWN TAMPA;419 PIERCE ST;TAMPA;FL;33602;8132768100
JAN KAMINIS PLATT REGIONAL LIBRARY;3910 S MANHATTAN AVENUE;TAMPA;FL;33611;8132733652
NEW TAMPA REGIONAL LIBRARY;10001 CROSS CREEK BLVD.;TAMPA;FL;33647;8132733652
TOWN N COUNTRY REGIONAL LIBRARY;7606 PAULA DR. SUITE 120;TAMPA;FL;33615;8132733652
USF SHIMBERG HEALTH SCIENCES LIBRARY;12901 BRUCE B. DOWNS;TAMPA;FL;33612;8139748432
USPS EHRLICH BRANCH;14910 NORTH DALE MABRY HIGHWAY;TAMPA;FL;33618;8139083478
USPS FALKENBURG BRANCH;10121 E ADAMO DR;TAMPA;FL;33619;8136260654
USPS NEW TAMPA POST OFFICE;16350 BRUCE B DOWNS BLVD;TAMPA;FL;33647;8139107987
USPS TAMPA MOWU;3501 BESSIE COLEMAN BLVD;TAMPA;FL;33630;8138770395
LAKE COUNTY CLERK OF COURT - LAKE COUNTY COURTHOUSE;550 W MAIN ST;TAVARES;FL;32778;3522532650
USPS TAVERNIER POST OFFICE;91220 OVERSEAS HWY;TAVERNIER;FL;33070;3058531052
BREVARD COUNTY CLERK OF COURT - PARKWAY COMPLEX;700 S PARK AVE;TITUSVILLE;FL;32780;3216372006
BREVARD COUNTY CLERK OF COURTS - FULL SERVICE COUNTER;400 SOUTH ST;TITUSVILLE;FL;32780;3216375413
GILCHRIST COUNTY CLERK OF COURT;112 S MAIN ST;TRENTON;FL;32693;3524633170
BLOOMINGDALE REGIONAL LIBRARY;1906 BLOOMINGDALE AVENUE;VALRICO;FL;33596;8132733652
USPS VALRICO POST OFFICE;2406 STATE ROAD 60 E;VALRICO;FL;33594;8136570495
SARASOTA COUNTY CLERK OF COURT - VENICE BRANCH;4000 S TAMIAMI TRAIL;VENICE;FL;34293;9418617400
INDIAN RIVER COUNTY CLERK OF COURT - VERO BEACH COURTHOUSE;2000 16TH AVE;VERO BEACH;FL;32960;7727705185
BREVARD COUNTY CLERK OF COURT - MOORE JUSTICE CENTER;2825 JUDGE FRAN JAMISON WAY;VIERA;FL;32940;3216375413
HARDEE COUNTY CLERK OF COURT;417 W MAIN ST;WAUCHULA;FL;33873;8637734174
USPS WAUCHULA MAIN POST OFFICE;300 E MAIN ST;WAUCHULA;FL;33873;8637735811
CITY OF WEST MIAMI;901 SW 62ND AVE;WEST MIAMI;FL;33144;3052661122
USPS DOWNTOWN WEST PALM BEACH POST OFFICE;640 CLEMATIS ST;WEST PALM BEACH;FL;33401;5618330929
USPS HAVERHILL STATION;3900 N HAVERHILL RD;WEST PALM BEACH;FL;33417;5616835415
USPS WEST PALM BEACH MOWU;3200 SUMMIT BLVD;WEST PALM BEACH;FL;33406;5616972123
USPS WIMAUMA POST OFFICE;5608 STATE ROAD 674;WIMAUMA;FL;33598;8136344282
POLK COUNTY CLERK OF COURT - NORTHEAST BRANCH;3425 LAKE ALFRED RD;WINTER HAVEN;FL;33881;8635344000
USPS WINTER HAVEN MAIN POST OFFICE;111 W CENTRAL AVE;WINTER HAVEN;FL;33880;8632997824
ORANGE COUNTY CLERK OF COURT - WINTER PARK BRANCH;450 N LAKEMONT AVE;WINTER PARK;FL;32792;4078362000
USPS WINTER SPRINGS POST OFFICE;1065 E STATE ROAD 434;WINTER SPRINGS;FL;32708;4073274569
USPS ZEPHYRHILLS POST OFFICE;38032 POSTAL DR;ZEPHYRHILLS;FL;33542;8137150149
